market,status,ldate,litho,rprice,ncore,nthread,bfreq,tdp,memband,temp
Mobile,Launched,2016.5,14,393,2,4,1.30 GHz,4.5 W,29.8 GB/s,100°C
Mobile,Launched,2017.5,14,297,4,8,1.60 GHz,15 W,34.1 GB/s,100°C
Mobile,Launched,2017.5,14,409,4,8,1.80 GHz,15 W,34.1 GB/s,100°C
Desktop,End of Life,2012,32,305,4,8,3.60 GHz,130 W,51.2 GB/s,66.8°C
Mobile,Launched,2017,14,281,2,4,1.20 GHz,4.5 W,29.8 GB/s,100°C
Mobile,Launched,2015,14,107,2,2,1.50 GHz,15 W,25.6 GB/s,105°C
Mobile,Launched,2013.5,22,,2,2,1.46 GHz,4.3 W,"",80°C
Desktop,Launched,2013.5,22,,2,2,2.41 GHz,10 W,"",100°C
Desktop,Launched,2013,22,42,2,2,2.60 GHz,55 W,21 GB/s,""
Mobile,End of Interactive Support,,90,,1,,2.80 GHz,88 W,"",75°C
Mobile,Launched,2012.5,22,134,2,2,2.40 GHz,35 W,25.6 GB/s,90 C
Mobile,End of Interactive Support,,90,,1,,1.30 GHz,5.5 W,"",100°C
Mobile,Launched,2015,14,161,2,4,1.90 GHz,15 W,25.6 GB/s,105°C
Mobile,Launched,2015.5,14,161,2,4,2.10 GHz,15 W,34.1 GB/s,100°C
Mobile,Launched,2016,14,161,4,4,1.60 GHz,6 W,"",90°C
Embedded,Launched,2015.75,,7.75,1,1,32 MHz,"","",""
Desktop,Launched,2013.5,22,94,4,4,2.41 GHz,10 W,"",100°C
Desktop,Launched,2013.75,22,94,4,4,2.41 GHz,10 W,21.3 GB/s,105°C
Desktop,Launched,2016,14,,4,4,1.60 GHz,6.5 W,"",90°C
Desktop,Launched,,14,161,4,4,1.50 GHz,10 W,"",105
Mobile,Launched,2015,14,161,4,4,1.60 GHz,6 W,"",90°C
Mobile,Launched,2013.5,22,,4,4,2.00 GHz,7.5 W,"",100°C
Mobile,Launched,2013.75,22,161,4,4,2.17 GHz,7.5 W,"",105°C
Mobile,Launched,2014,22,161,4,4,2.16 GHz,7.5 W,"",100°C
Mobile,Launched,2014.5,22,161,4,4,2.16 GHz,7.5 W,21.32 GB/s,100°C
Mobile,Launched,2016.5,14,161,4,4,1.10 GHz,6 W,"",105°C
Mobile,Launched,2015.5,14,161,2,4,1.50 GHz,6 W,29.8 GB/s,100°C
Mobile,Launched,2017.25,14,161,2,4,1.60 GHz,6 W,29.8 GB/s,100°C
Mobile,Launched,2017,14,161,2,4,1.50 GHz,6 W,29.8 GB/s,100°C
Mobile,Launched,2017,14,161,2,4,2.30 GHz,15 W,34.1 GB/s,100°C
Mobile,Launched,2015,14,161,2,2,1.90 GHz,15 W,25.6 GB/s,105°C
Mobile,Launched,2013.75,22,161,2,2,1.20 GHz,11.5 W,25.6 GB/s,100°C
Mobile,Launched,2014.25,22,134,2,2,2.40 GHz,37 W,25.6 GB/s,100°C
Mobile,Launched,2013.5,22,,2,2,1.20 GHz,11.5 W,25.6 GB/s,100°C
Mobile,Launched,2013.75,22,161,2,2,1.70 GHz,15 W,25.6 GB/s,100°C
Mobile,Launched,2013.5,22,,2,2,1.70 GHz,15 W,25.6 GB/s,100°C
Mobile,Launched,2013.75,22,134,2,2,2.30 GHz,37 W,25.6 GB/s,100°C
Mobile,Launched,2012.5,22,134,2,2,1.80 GHz,17 W,25.6 GB/s,105 C
Mobile,Launched,2013,22,134,2,2,2.50 GHz,35 W,25.6 GB/s,90 C
Mobile,Launched,2013.5,22,134,2,2,1.90 GHz,17 W,25.6 GB/s,105 C
Mobile,Launched,2013,22,,2,2,1.10 GHz,10 W,25.6 GB/s,105 C
Mobile,End of Interactive Support,,90,,1,,1.20 GHz,5.5 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,1.10 GHz,5 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,1.00 GHz,5 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.10 GHz,7 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,1.60 GHz,7.5 W,"",100°C
Mobile,End of Interactive Support,2004.25,90,,1,,1.40 GHz,7.5 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,1.50 GHz,7.5 W,"",100°C
Desktop,End of Interactive Support,2005.5,90,,1,,3.80 GHz,115 W,"",72.8°C
Mobile,End of Interactive Support,,,,1,,800 MHz,5.9 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.30 GHz,12 W,"",100°C
Desktop,End of Interactive Support,2004.75,90,,1,,3.80 GHz,115 W,"",72.8°C
Mobile,End of Interactive Support,,,,1,,750 MHz,24.6 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,2.26 GHz,27 W,"",100°C
Desktop,End of Interactive Support,2005.5,90,,1,,3.60 GHz,115 W,"",72.8°C
Mobile,End of Interactive Support,,,,1,,700 MHz,7 W,"",100°C
Server,End of Interactive Support,2001.75,130,,1,,800 MHz,10.63 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,2.13 GHz,27 W,"",100°C
Desktop,End of Interactive Support,,90,,1,,3.60 GHz,115 W,"",72.8°C
Mobile,End of Interactive Support,,,,1,,400 MHz,10.1 W,"",100°C
Server,End of Interactive Support,2001.75,130,,1,,933 MHz,11.61 W,"",100°C
