"market","status","ldate","litho","rprice","ncore","nthread","bfreq","tdp","memband","temp"
"Mobile","Launched",2016 Q3,14,393,2,4,1.3,4.5,29.8,"100°C"
"Mobile","Launched",2017 Q3,14,297,4,8,1.6,15,34.1,"100°C"
"Mobile","Launched",2017 Q3,14,409,4,8,1.8,15,34.1,"100°C"
"Desktop","End of Life",2012 Q1,32,305,4,8,3.6,130,51.2,"66.8°C"
"Mobile","Launched",2017 Q1,14,281,2,4,1.2,4.5,29.8,"100°C"
"Mobile","Launched",2015 Q1,14,107,2,2,1.5,15,25.6,"105°C"
"Mobile","Launched",2013 Q3,22,NA,2,2,1.46,4.3,NA,"80°C"
"Desktop","Launched",2013 Q3,22,NA,2,2,2.41,10,NA,"100°C"
"Desktop","Launched",2013 Q1,22,42,2,2,2.6,55,21,""
"Mobile","End of Interactive Support",NA,90,NA,1,NA,2.8,88,NA,"75°C"
"Mobile","Launched",2012 Q3,22,134,2,2,2.4,35,25.6,"90 C"
"Mobile","End of Interactive Support",NA,90,NA,1,NA,1.3,5.5,NA,"100°C"
"Mobile","Launched",2015 Q1,14,161,2,4,1.9,15,25.6,"105°C"
"Mobile","Launched",2015 Q3,14,161,2,4,2.1,15,34.1,"100°C"
"Mobile","Launched",2016 Q1,14,161,4,4,1.6,6,NA,"90°C"
"Embedded","Launched",2015 Q4,NA,7.75,1,1,32,NA,NA,""
"Desktop","Launched",2013 Q3,22,94,4,4,2.41,10,NA,"100°C"
"Desktop","Launched",2013 Q4,22,94,4,4,2.41,10,21.3,"105°C"
"Desktop","Launched",2016 Q1,14,NA,4,4,1.6,6.5,NA,"90°C"
"Desktop","Launched",NA,14,161,4,4,1.5,10,NA,"105"
"Mobile","Launched",2015 Q1,14,161,4,4,1.6,6,NA,"90°C"
"Mobile","Launched",2013 Q3,22,NA,4,4,2,7.5,NA,"100°C"
"Mobile","Launched",2013 Q4,22,161,4,4,2.17,7.5,NA,"105°C"
"Mobile","Launched",2014 Q1,22,161,4,4,2.16,7.5,NA,"100°C"
"Mobile","Launched",2014 Q3,22,161,4,4,2.16,7.5,21.32,"100°C"
"Mobile","Launched",2016 Q3,14,161,4,4,1.1,6,NA,"105°C"
"Mobile","Launched",2015 Q3,14,161,2,4,1.5,6,29.8,"100°C"
"Mobile","Launched",2017 Q2,14,161,2,4,1.6,6,29.8,"100°C"
"Mobile","Launched",2017 Q1,14,161,2,4,1.5,6,29.8,"100°C"
"Mobile","Launched",2017 Q1,14,161,2,4,2.3,15,34.1,"100°C"
"Mobile","Launched",2015 Q1,14,161,2,2,1.9,15,25.6,"105°C"
"Mobile","Launched",2013 Q4,22,161,2,2,1.2,11.5,25.6,"100°C"
"Mobile","Launched",2014 Q2,22,134,2,2,2.4,37,25.6,"100°C"
"Mobile","Launched",2013 Q3,22,NA,2,2,1.2,11.5,25.6,"100°C"
"Mobile","Launched",2013 Q4,22,161,2,2,1.7,15,25.6,"100°C"
"Mobile","Launched",2013 Q3,22,NA,2,2,1.7,15,25.6,"100°C"
"Mobile","Launched",2013 Q4,22,134,2,2,2.3,37,25.6,"100°C"
"Mobile","Launched",2012 Q3,22,134,2,2,1.8,17,25.6,"105 C"
"Mobile","Launched",2013 Q1,22,134,2,2,2.5,35,25.6,"90 C"
"Mobile","Launched",2013 Q3,22,134,2,2,1.9,17,25.6,"105 C"
