market,status,ldate,litho,rprice,ncore,bfreq,tdp,temp
Mobile,Launched,2016.5,14,393,2,1.3,4.5,100
Mobile,Launched,2017.5,14,297,4,1.6,15,100
Mobile,Launched,2017.5,14,409,4,1.8,15,100
Desktop,End of Life,2012,32,305,4,3.6,130,66.8
Mobile,Launched,2017,14,281,2,1.2,4.5,100
Mobile,Launched,2015,14,107,2,1.5,15,105
Mobile,Launched,2013.5,22,,2,1.46,4.3,80
Desktop,Launched,2013.5,22,,2,2.41,10,100
Desktop,Launched,2013,22,42,2,2.6,55,
Mobile,End of Interactive Support,,90,,1,2.8,88,75
Mobile,Launched,2012.5,22,134,2,2.4,35,90
Mobile,End of Interactive Support,,90,,1,1.3,5.5,100
Mobile,Launched,2015,14,161,2,1.9,15,105
Mobile,Launched,2015.5,14,161,2,2.1,15,100
Mobile,Launched,2016,14,161,4,1.6,6,90
Embedded,Launched,2015.75,,7.75,1,0.032,,
Desktop,Launched,2013.5,22,94,4,2.41,10,100
Desktop,Launched,2013.75,22,94,4,2.41,10,105
Desktop,Launched,2016,14,,4,1.6,6.5,90
Desktop,Launched,,14,161,4,1.5,10,105
Mobile,Launched,2015,14,161,4,1.6,6,90
Mobile,Launched,2013.5,22,,4,2,7.5,100
Mobile,Launched,2013.75,22,161,4,2.17,7.5,105
Mobile,Launched,2014,22,161,4,2.16,7.5,100
Mobile,Launched,2014.5,22,161,4,2.16,7.5,100
Mobile,Launched,2016.5,14,161,4,1.1,6,105
Mobile,Launched,2015.5,14,161,2,1.5,6,100
Mobile,Launched,2017.25,14,161,2,1.6,6,100
Mobile,Launched,2017,14,161,2,1.5,6,100
Mobile,Launched,2017,14,161,2,2.3,15,100
Mobile,Launched,2015,14,161,2,1.9,15,105
Mobile,Launched,2013.75,22,161,2,1.2,11.5,100
Mobile,Launched,2014.25,22,134,2,2.4,37,100
Mobile,Launched,2013.5,22,,2,1.2,11.5,100
Mobile,Launched,2013.75,22,161,2,1.7,15,100
Mobile,Launched,2013.5,22,,2,1.7,15,100
Mobile,Launched,2013.75,22,134,2,2.3,37,100
Mobile,Launched,2012.5,22,134,2,1.8,17,105
Mobile,Launched,2013,22,134,2,2.5,35,90
Mobile,Launched,2013.5,22,134,2,1.9,17,105
Mobile,Launched,2013,22,,2,1.1,10,105
