Vertical Segment,Status,Launch Date,Lithography,Recommended Customer Price,total Cores,total Threads,Processor Base Frequency,TDP,Max Memory Bandwidth,T
Mobile,Launched,Q3'16,14 nm,$393.00 ,2,4,1.30 GHz,4.5 W,29.8 GB/s,100°C
Mobile,Launched,Q3'17,14 nm,$297.00 ,4,8,1.60 GHz,15 W,34.1 GB/s,100°C
Mobile,Launched,Q3'17,14 nm,$409.00 ,4,8,1.80 GHz,15 W,34.1 GB/s,100°C
Desktop,End of Life,Q1'12,32 nm,$305.00 ,4,8,3.60 GHz,130 W,51.2 GB/s,66.8°C
Mobile,Launched,Q1'17,14 nm,$281.00 ,2,4,1.20 GHz,4.5 W,29.8 GB/s,100°C
Mobile,Launched,Q1'15,14 nm,$107.00 ,2,2,1.50 GHz,15 W,25.6 GB/s,105°C
Mobile,Launched,Q3'13,22 nm,N/A,2,2,1.46 GHz,4.3 W,,80°C 
Desktop,Launched,Q3'13,22 nm,N/A,2,2,2.41 GHz,10 W,,100°C 
Desktop,Launched,Q1'13,22 nm,$42.00 ,2,2,2.60 GHz,55 W,21 GB/s,
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,2.80 GHz,88 W,,75°C
Mobile,Launched,Q3'12,22 nm,$134.00 ,2,2,2.40 GHz,35 W,25.6 GB/s,90 C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,1.30 GHz,5.5 W,,100°C
Mobile,Launched,Q1'15,14 nm,$161.00 ,2,4,1.90 GHz,15 W,25.6 GB/s,105°C
Mobile,Launched,Q3'15,14 nm,$161.00 ,2,4,2.10 GHz,15 W,34.1 GB/s,100°C
Mobile,Launched,Q1'16,14 nm,$161.00 ,4,4,1.60 GHz,6 W,,90°C 
Embedded,Launched,Q4'15,,$7.75 ,1,1,32 MHz,,,
Desktop,Launched,Q3'13,22 nm,$94.00 ,4,4,2.41 GHz,10 W,,100°C 
Desktop,Launched,Q4'13,22 nm,$94.00 ,4,4,2.41 GHz,10 W,21.3 GB/s,  105°C 
Desktop,Launched,Q1'16,14 nm,N/A,4,4,1.60 GHz,6.5 W,,90°C 
Desktop,Launched,,14 nm,$161.00 ,4,4,1.50 GHz,10 W,,105
Mobile,Launched,Q1'15,14 nm,$161.00 ,4,4,1.60 GHz,6 W,,90°C 
Mobile,Launched,Q3'13,22 nm,N/A,4,4,2.00 GHz,7.5 W,,100°C
Mobile,Launched,Q4'13,22 nm,$161.00 ,4,4,2.17 GHz,7.5 W,,105°C
Mobile,Launched,Q1'14,22 nm,$161.00 ,4,4,2.16 GHz,7.5 W,,100°C
Mobile,Launched,Q3'14,22 nm,$161.00 ,4,4,2.16 GHz,7.5 W,21.32 GB/s,100°C
Mobile,Launched,Q3'16,14 nm,$161.00 ,4,4,1.10 GHz,6 W,,105°C
Mobile,Launched,Q3'15,14 nm,$161.00 ,2,4,1.50 GHz,6 W,29.8 GB/s,100°C
Mobile,Launched,Q2'17,14 nm,$161.00 ,2,4,1.60 GHz,6 W,29.8 GB/s,100°C
Mobile,Launched,Q1'17,14 nm,$161.00 ,2,4,1.50 GHz,6 W,29.8 GB/s,100°C
Mobile,Launched,Q1'17,14 nm,$161.00 ,2,4,2.30 GHz,15 W,34.1 GB/s,100°C
Mobile,Launched,Q1'15,14 nm,$161.00 ,2,2,1.90 GHz,15 W,25.6 GB/s,105°C
Mobile,Launched,Q4'13,22 nm,$161.00 ,2,2,1.20 GHz,11.5 W,25.6 GB/s,100°C
Mobile,Launched,Q2'14,22 nm,$134.00 ,2,2,2.40 GHz,37 W,25.6 GB/s,100°C
Mobile,Launched,Q3'13,22 nm,N/A,2,2,1.20 GHz,11.5 W,25.6 GB/s,100°C
Mobile,Launched,Q4'13,22 nm,$161.00 ,2,2,1.70 GHz,15 W,25.6 GB/s,100°C
Mobile,Launched,Q3'13,22 nm,N/A,2,2,1.70 GHz,15 W,25.6 GB/s,100°C
Mobile,Launched,Q4'13,22 nm,$134.00 ,2,2,2.30 GHz,37 W,25.6 GB/s,100°C
Mobile,Launched,Q3'12,22 nm,$134.00 ,2,2,1.80 GHz,17 W,25.6 GB/s,105 C
Mobile,Launched,Q1'13,22 nm,$134.00 ,2,2,2.50 GHz,35 W,25.6 GB/s,90 C
Mobile,Launched,Q3'13,22 nm,$134.00 ,2,2,1.90 GHz,17 W,25.6 GB/s,105 C
Mobile,Launched,Q1'13,22 nm,N/A,2,2,1.10 GHz,10 W,25.6 GB/s,105 C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,1.20 GHz,5.5 W,,100°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,1.10 GHz,5 W,,100°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,1.00 GHz,5 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.10 GHz,7 W,,100°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,1.60 GHz,7.5 W,,100°C
Mobile,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,1.40 GHz,7.5 W,,100°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,1.50 GHz,7.5 W,,100°C
Desktop,End of Interactive Support,Q3'05,90 nm,N/A,1,NA,3.80 GHz,115 W,,72.8°C
Mobile,End of Interactive Support,,,N/A,1,NA,800 MHz,5.9 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.30 GHz,12 W,,100°C
Desktop,End of Interactive Support,Q4'04,90 nm,N/A,1,NA,3.80 GHz,115 W,,72.8°C
Mobile,End of Interactive Support,,,N/A,1,NA,750 MHz,24.6 W,,100°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,2.26 GHz,27 W,,100°C
Desktop,End of Interactive Support,Q3'05,90 nm,N/A,1,NA,3.60 GHz,115 W,,72.8°C
Mobile,End of Interactive Support,,,N/A,1,NA,700 MHz,7 W,,100°C
Server,End of Interactive Support,Q4'01,130 nm,N/A,1,NA,800 MHz,10.63 W,,100°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,2.13 GHz,27 W,,100°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,3.60 GHz,115 W,,72.8°C
Mobile,End of Interactive Support,,,N/A,1,NA,400 MHz,10.1 W,,100°C
Server,End of Interactive Support,Q4'01,130 nm,N/A,1,NA,933 MHz,11.61 W,,100°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,2.10 GHz,7.5 W,,100°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,3.60 GHz,115 W,,72.8°C
Mobile,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,2.00 GHz,27 W,,100°C
Server,End of Interactive Support,,130 nm,N/A,1,NA,1.13 GHz,28.7 W,,69°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,4.00 GHz,,,
Desktop,End of Interactive Support,Q2'05,90 nm,N/A,1,NA,3.40 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,2.80 GHz,68.4 W,,75°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,2.00 GHz,7.5 W,,100°C
Server,End of Interactive Support,Q4'01,130 nm,N/A,1,NA,1.26 GHz,30.4 W,,69°C
Desktop,End of Interactive Support,Q4'04,90 nm,N/A,1,NA,3.40 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,Q1'02,130 nm,N/A,1,NA,2.60 GHz,62.6 W,,70°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,3.40 GHz,84 W,,67.7°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,1.86 GHz,27 W,,100°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,900 MHz,23.2 W,,75°C
Server,End of Interactive Support,,130 nm,N/A,1,NA,1.40 GHz,32.2 W,,69°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,3.80 GHz,65 W,,
Desktop,End of Interactive Support,Q1'02,130 nm,N/A,1,NA,2.50 GHz,61 W,,72°C
Server,End of Interactive Support,,130 nm,N/A,1,NA,1.00 GHz,12.1 W,,100°C
Mobile,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,1.80 GHz,21 W,,100°C
Desktop,End of Interactive Support,Q1'00,180 nm,N/A,1,NA,850 MHz,22.5 W,,80°C
Desktop,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,3.40 GHz,115 W,,72.8°C
Desktop,End of Interactive Support,Q1'06,65 nm,N/A,2,NA,2.80 GHz,95 W,,63.4°C
Desktop,End of Interactive Support,Q1'02,130 nm,N/A,1,NA,2.40 GHz,59.8 W,,71°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,933 MHz,27.3 W,,77°C
Mobile,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,1.80 GHz,7.5 W,,100°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,800 MHz,20.8 W,,80°C
